#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%
73,Manny Machado,R,SD,3B,3B,4/11,7,10.5,@NYM,DPeterson(L),96,Lst7,4.5,4.0,1.0,0.55,0.18,0.53,0.04,0.44,0.93,0.244,0.321,0.428,0.749,100
74,Harold Castro,L,COL,1B/3B,1B/2B/ SS/3B,4/11,8,10.3,STL,MMikolas(R),44,Lst7,4.0,3.8,1.2,0.49,0.07,0.47,0.01,0.12,0.57,0.318,0.339,0.436,0.775,0
75,Trea Turner,R,PHI,SS,SS,4/11,6,10.2,MIA,JLuzardo(L),96,Lst7,4.2,3.8,1.0,0.53,0.13,0.39,0.10,0.32,0.80,0.264,0.325,0.431,0.756,100
76,Sam Haggerty,S,SEA,OF,OF,4/11,7,9.9,@CHC,HWesneski(R),19,Lst7,4.0,3.6,0.9,0.46,0.08,0.39,0.23,0.28,0.91,0.242,0.305,0.373,0.678,0
77,Josh Jung,R,TEX,3B,3B,4/11,8,9.9,KC,JLyles(R),96,Lst7,3.8,3.5,0.9,0.47,0.17,0.54,0.04,0.20,0.88,0.254,0.299,0.455,0.754,100
78,AJ Pollock,R,SEA,OF,OF,4/11,7,9.7,@CHC,HWesneski(R),46,Lst7,4.0,3.7,1.0,0.49,0.15,0.50,0.05,0.21,0.77,0.259,0.303,0.439,0.742,2
79,Cedric Mullins,L,BAL,OF,OF,4/11,6,9.7,OAK,KMuller(L),93,Lst7,4.2,3.8,0.9,0.51,0.10,0.35,0.21,0.33,0.74,0.237,0.305,0.375,0.680,100
80,Jose Ramirez,S,CLE,3B,3B,4/11,6,9.5,NYY,GCole(R),96,Lst7,4.0,3.6,0.8,0.43,0.16,0.46,0.16,0.36,0.75,0.226,0.301,0.430,0.731,100
81,Mookie Betts,R,LAD,OF,2B/OF,4/11,9,9.5,@SF,AWood(L),96,Lst7,4.7,4.1,1.1,0.61,0.11,0.44,0.06,0.38,0.72,0.262,0.333,0.422,0.755,100
82,Garrett Mitchell,L,MIL,OF,OF,4/11,9,9.3,@ARI,MKelly(R),85,Lst7,4.2,3.8,1.0,0.43,0.10,0.45,0.16,0.32,1.16,0.253,0.314,0.402,0.716,100
83,Alejandro Kirk,R,TOR,C,C,4/11,7,8.9,DET,MManning(R),75,Lst7,3.8,3.3,0.9,0.49,0.14,0.48,0.01,0.38,0.35,0.283,0.359,0.465,0.824,100
84,Jesse Winker,L,MIL,OF,OF,4/11,9,8.5,@ARI,MKelly(R),82,Lst7,4.6,4.0,1.1,0.60,0.12,0.48,0.01,0.49,0.77,0.263,0.346,0.424,0.770,99
85,Ozzie Albies,S,ATL,2B,2B,4/11,7,8.3,CIN,LCessa(R),96,Lst7,3.9,3.6,0.9,0.44,0.12,0.52,0.09,0.25,0.58,0.252,0.303,0.419,0.722,100
86,Wander Franco,S,TB,SS,SS,4/11,6,8.0,BOS,GWhitlock(R),96,Lst7,3.9,3.6,1.0,0.44,0.11,0.47,0.10,0.27,0.45,0.265,0.319,0.430,0.749,100
87,William Contreras,R,MIL,C,C,4/11,9,7.2,@ARI,MKelly(R),78,Lst7,4.3,3.9,1.0,0.47,0.15,0.56,0.02,0.32,1.04,0.250,0.309,0.420,0.729,100
88,Whit Merrifield,R,TOR,2B/OF,2B/OF,4/11,7,6.8,DET,MManning(R),76,Lst7,3.7,3.5,0.9,0.41,0.08,0.41,0.16,0.20,0.49,0.261,0.303,0.388,0.691,94
89,Patrick Wisdom,R,CHC,3B,1B/3B/ OF,4/11,7,6.4,SEA,CFlexen(R),71,Lst7,3.7,3.3,0.7,0.48,0.20,0.52,0.04,0.28,1.11,0.219,0.286,0.448,0.734,31
90,Jeremy Pena,R,HOU,SS,SS,4/11,6,6.4,@PIT,MKeller(R),96,Lst7,4.3,4.0,1.0,0.46,0.10,0.45,0.14,0.19,0.96,0.241,0.284,0.371,0.655,100
91,Freddie Freeman,L,LAD,1B,1B,4/11,9,6.3,@SF,AWood(L),91,Lst7,4.5,4.0,1.1,0.54,0.07,0.43,0.03,0.38,0.72,0.280,0.348,0.399,0.747,100
92,DJ LeMahieu,R,NYY,1B/2B/ 3B,1B/2B/ 3B,4/11,6,6.3,@CLE,HGaddis(R),87,Lst7,4.7,4.1,1.0,0.61,0.12,0.39,0.05,0.38,0.72,0.251,0.318,0.395,0.713,100
93,Brandon Lowe,L,TB,2B,2B,4/11,6,6.2,BOS,GWhitlock(R),91,Lst7,4.1,3.7,0.9,0.53,0.18,0.46,0.04,0.35,0.97,0.235,0.309,0.431,0.740,100
