#,Name,B,Team,ESPN,Y!,Date,GT,$,Opp,Pitcher,%St,LU,PA,AB,H,R,HR,RBI,SB,BB,SO,AVG,OBP,SLG,OPS,R%
166,Orlando Arcia,R,ATL,2B/SS,2B/SS/ OF,4/11,7,-0.7,CIN,LCessa(R),96,Lst7,3.6,3.2,0.8,0.43,0.10,0.41,0.02,0.27,0.57,0.255,0.315,0.405,0.720,68
167,Yainer Diaz,R,HOU,DH,C,4/11,6,-0.7,@PIT,MKeller(R),29,Lst7,4.0,3.7,0.9,0.44,0.09,0.44,0.03,0.20,0.73,0.252,0.296,0.384,0.680,1
168,Luke Voit,R,MIL,1B,1B,4/11,9,-0.9,@ARI,MKelly(R),29,Lst7,4.1,3.7,0.9,0.44,0.13,0.44,0.02,0.31,1.19,0.236,0.301,0.391,0.692,1
169,Mauricio Dubon,R,HOU,SS/OF,SS/OF,4/11,6,-0.9,@PIT,MKeller(R),56,Lst7,3.9,3.6,0.9,0.42,0.06,0.39,0.08,0.21,0.56,0.253,0.301,0.359,0.660,0
170,Steven Kwan,L,CLE,OF,OF,4/11,6,-0.9,NYY,GCole(R),97,Lst7,4.2,3.8,0.9,0.47,0.06,0.30,0.14,0.34,0.62,0.239,0.306,0.357,0.663,100
171,Riley Greene,L,DET,OF,OF,4/11,7,-0.9,@TOR,AManoah(R),97,Lst7,4.4,3.9,0.9,0.49,0.12,0.39,0.04,0.31,1.23,0.236,0.298,0.392,0.690,100
172,Jake Fraley,L,CIN,OF,OF,4/11,7,-1.0,@ATL,KWright(R),79,Lst7,4.4,3.9,0.9,0.44,0.10,0.46,0.06,0.39,1.09,0.229,0.308,0.364,0.672,99
173,Ramon Laureano,R,OAK,OF,OF,4/11,6,-1.0,@BAL,GRodriguez(R),96,Lst7,4.0,3.6,0.8,0.36,0.13,0.41,0.13,0.24,1.19,0.212,0.272,0.373,0.645,99
174,Vidal Brujan,S,TB,2B/OF,2B/OF,4/11,6,-1.0,BOS,GWhitlock(R),19,Lst7,3.5,3.2,0.7,0.34,0.06,0.30,0.23,0.26,0.72,0.217,0.281,0.329,0.610,0
175,Jose Miranda,R,MIN,1B/3B,1B/3B,4/11,7,-1.0,CHW,LLynn(R),96,Lst7,3.9,3.6,0.9,0.42,0.12,0.44,0.02,0.18,0.69,0.247,0.293,0.407,0.700,100
176,Miles Mastrobuoni,L,CHC,2b,2b,4/11,7,-1.0,SEA,CFlexen(R),42,Lst7,3.5,3.1,0.8,0.43,0.06,0.36,0.05,0.27,0.60,0.269,0.328,0.399,0.727,0
177,Nelson Cruz,R,SD,DH,DH,4/11,7,-1.1,@NYM,DPeterson(L),96,Lst7,4.3,3.9,0.9,0.42,0.14,0.51,0.01,0.36,1.13,0.229,0.300,0.366,0.666,7
178,Jon Berti,R,MIA,2B/3B,2B/3B/ OF,4/11,6,-1.1,@PHI,ANola(R),76,Lst7,3.6,3.3,0.7,0.32,0.05,0.26,0.28,0.26,1.00,0.212,0.277,0.306,0.583,76
179,Alec Bohm,R,PHI,3B,1B/3B,4/11,6,-1.1,MIA,JLuzardo(L),96,Lst7,3.8,3.5,0.9,0.38,0.11,0.44,0.02,0.26,0.80,0.258,0.316,0.408,0.724,100
180,Kevin Kiermaier,L,TOR,OF,OF,4/11,7,-1.2,DET,MManning(R),74,Lst7,3.4,3.2,0.8,0.42,0.09,0.37,0.09,0.20,0.69,0.238,0.288,0.400,0.688,1
181,Brian Anderson,R,MIL,3B/OF,3B/OF,4/11,9,-1.5,@ARI,MKelly(R),96,Lst7,4.2,3.7,0.9,0.43,0.10,0.45,0.04,0.34,1.05,0.237,0.307,0.381,0.688,96
182,Javier Baez,R,DET,SS,SS,4/11,7,-1.6,@TOR,AManoah(R),91,Lst7,4.3,4.0,0.8,0.41,0.16,0.45,0.06,0.15,1.25,0.212,0.255,0.388,0.643,97
183,Joey Gallo,L,MIN,OF,OF,4/11,7,-1.6,CHW,LLynn(R),46,Lst7,3.6,3.1,0.6,0.41,0.19,0.43,0.03,0.40,1.23,0.201,0.299,0.432,0.731,61
184,Eli White,R,ATL,OF,OF,4/11,7,-1.6,CIN,LCessa(R),24,Lst7,3.4,3.1,0.7,0.38,0.06,0.32,0.18,0.26,0.93,0.221,0.287,0.328,0.615,0
185,Santiago Espinal,R,TOR,2B,2B/3B,4/11,7,-1.6,DET,MManning(R),29,Lst7,3.6,3.3,0.9,0.41,0.06,0.35,0.07,0.23,0.43,0.263,0.315,0.382,0.697,0
186,Luis Arraez,L,MIA,1B/2B,1B/2B,4/11,6,-1.7,@PHI,ANola(R),97,Lst7,4.4,4.0,1.1,0.43,0.05,0.35,0.04,0.27,0.45,0.278,0.327,0.372,0.699,100
187,Yoan Moncada,S,CHW,3B,3B,4/11,7,-1.8,@MIN,PLopez(R),56,Lst7,4.2,3.8,0.9,0.43,0.11,0.48,0.02,0.32,1.22,0.235,0.302,0.385,0.687,100
188,Andres Gimenez,L,CLE,2B,2B/SS,4/11,6,-2.1,NYY,GCole(R),97,Lst7,3.7,3.4,0.8,0.34,0.11,0.38,0.13,0.19,1.01,0.222,0.276,0.371,0.647,100
189,Nick Gordon,L,MIN,2B/OF,2B/SS/ OF,4/11,7,-2.2,CHW,LLynn(R),82,Lst7,3.8,3.6,0.8,0.36,0.09,0.40,0.10,0.15,0.82,0.237,0.278,0.380,0.658,60
190,Ketel Marte,S,ARI,2B,2B,4/11,9,-2.6,MIL,CBurnes(R),91,Lst7,4.2,3.7,0.9,0.46,0.09,0.37,0.06,0.30,0.87,0.238,0.300,0.381,0.681,100
191,Isiah Kiner-Falefa,R,NYY,SS,SS,4/11,6,-2.7,@CLE,HGaddis(R),20,Lst7,3.9,3.6,0.9,0.38,0.05,0.32,0.15,0.18,0.56,0.240,0.285,0.334,0.619,1
192,Jean Segura,R,MIA,2B,2B,4/11,6,-2.8,@PHI,ANola(R),91,Lst7,3.9,3.6,0.9,0.34,0.07,0.34,0.11,0.19,0.78,0.249,0.295,0.353,0.648,93
193,David Hensley,R,HOU,3B,3B,4/11,6,-2.8,@PIT,MKeller(R),66,Lst7,4.1,3.6,0.9,0.41,0.04,0.37,0.12,0.41,1.05,0.238,0.320,0.341,0.661,2
194,Matt Thaiss,L,LAA,C,C/1B,4/11,9,-2.9,WSH,JGray(R),27,Lst7,3.4,2.9,0.6,0.43,0.15,0.37,0.04,0.43,0.80,0.215,0.319,0.419,0.738,0
195,Tyler Stephenson,R,CIN,C,C,4/11,7,-2.9,@ATL,KWright(R),75,Lst7,4.2,3.9,1.0,0.40,0.07,0.48,0.01,0.28,0.98,0.254,0.312,0.368,0.680,100
196,Luke Raley,L,TB,OF,OF,4/11,6,-2.9,BOS,GWhitlock(R),60,Lst7,3.8,3.4,0.7,0.38,0.14,0.45,0.05,0.25,1.16,0.215,0.288,0.378,0.666,15
197,Mike Brosseau,R,MIL,3B,3B,4/11,9,-3.0,@ARI,MKelly(R),29,Lst7,4.3,3.9,0.9,0.43,0.10,0.43,0.06,0.31,1.17,0.227,0.293,0.352,0.645,0
198,Cavan Biggio,L,TOR,1B/2B,1B/2B/ OF,4/11,7,-3.1,DET,MManning(R),49,Lst7,3.5,3.0,0.7,0.45,0.11,0.38,0.04,0.43,0.75,0.230,0.331,0.401,0.732,0
199,Gio Urshela,R,LAA,3B,3B,4/11,9,-3.3,WSH,JGray(R),87,Lst7,3.6,3.3,0.8,0.39,0.11,0.37,0.02,0.23,0.67,0.255,0.304,0.418,0.722,7
200,Jake Meyers,R,HOU,OF,OF,4/11,6,-3.4,@PIT,MKeller(R),36,Lst7,4.0,3.6,0.8,0.43,0.07,0.39,0.08,0.29,1.01,0.235,0.301,0.353,0.654,0
201,Brandon Dixon,R,SD,1B/OF,1B/OF,4/11,7,-3.5,@NYM,DPeterson(L),24,Lst7,3.9,3.5,0.8,0.41,0.14,0.43,0.04,0.28,1.26,0.216,0.279,0.378,0.657,0
202,Lourdes Gurriel Jr.,R,ARI,OF,OF,4/11,9,-3.5,MIL,CBurnes(R),88,Lst7,4.0,3.8,0.9,0.39,0.08,0.41,0.05,0.19,0.86,0.249,0.292,0.375,0.667,97
203,Harold Ramirez,R,TB,1B/OF,1B/OF,4/11,6,-3.7,BOS,GWhitlock(R),63,Lst7,3.6,3.4,0.9,0.35,0.08,0.37,0.05,0.14,0.63,0.260,0.300,0.389,0.689,10
204,Sam Hilliard,L,ATL,OF,OF,4/11,7,-3.7,CIN,LCessa(R),64,Lst7,3.4,3.0,0.7,0.42,0.10,0.38,0.08,0.32,0.95,0.215,0.294,0.371,0.665,1
205,Kevin Pillar,R,ATL,OF,OF,4/11,7,-3.8,CIN,LCessa(R),24,Lst7,3.5,3.3,0.8,0.40,0.08,0.39,0.05,0.17,0.63,0.242,0.287,0.382,0.669,0
206,Luis Torrens,R,CHC,C,C,4/11,7,-3.8,SEA,CFlexen(R),25,Lst7,3.7,3.4,0.8,0.42,0.12,0.43,0.01,0.24,0.82,0.233,0.286,0.391,0.677,0
207,Wil Myers,R,CIN,1B/OF,1B/OF,4/11,7,-3.9,@ATL,KWright(R),96,Lst7,4.1,3.8,0.9,0.38,0.09,0.45,0.03,0.28,1.19,0.239,0.296,0.366,0.662,91
208,Spencer Torkelson,R,DET,1B,1B,4/11,7,-3.9,@TOR,AManoah(R),96,Lst7,4.0,3.6,0.8,0.40,0.17,0.44,0.01,0.31,1.04,0.213,0.289,0.404,0.693,91
209,Ha-Seong Kim,R,SD,SS/3B,SS/3B,4/11,7,-4.1,@NYM,DPeterson(L),96,Lst7,4.1,3.6,0.9,0.39,0.10,0.41,0.05,0.33,0.82,0.234,0.302,0.364,0.666,98
210,Alek Thomas,L,ARI,OF,OF,4/11,9,-4.1,MIL,CBurnes(R),85,Lst7,3.5,3.2,0.8,0.36,0.07,0.35,0.09,0.21,0.72,0.241,0.295,0.392,0.687,22
211,Cesar Salazar,L,HOU,C,C,4/11,6,-4.2,@PIT,MKeller(R),26,Lst7,3.9,3.6,0.8,0.43,0.08,0.40,0.07,0.22,0.82,0.225,0.282,0.356,0.638,0
212,Ramon Urias,R,BAL,2B/3B,2B/3B,4/11,6,-4.4,OAK,KMuller(L),96,Lst7,3.7,3.3,0.8,0.39,0.11,0.39,0.02,0.30,0.78,0.244,0.313,0.399,0.712,5
213,Jeff McNeil,L,NYM,2B/OF,2B/OF,4/11,7,-4.5,SD,RWeathers(L),93,Lst7,3.8,3.4,0.9,0.41,0.06,0.38,0.01,0.26,0.41,0.265,0.328,0.377,0.705,100
214,Matt Vierling,R,DET,OF,3B/OF,4/11,7,-4.5,@TOR,AManoah(R),74,Lst7,3.9,3.6,0.8,0.37,0.10,0.36,0.08,0.21,0.89,0.232,0.285,0.372,0.657,17
215,Manuel Margot,R,TB,OF,OF,4/11,6,-4.6,BOS,GWhitlock(R),79,Lst7,3.4,3.1,0.8,0.34,0.06,0.32,0.12,0.21,0.60,0.239,0.292,0.360,0.652,89
216,Tony Kemp,L,OAK,2B/OF,2B/OF,4/11,6,-4.6,@BAL,GRodriguez(R),95,Lst7,4.5,4.0,1.0,0.47,0.07,0.30,0.09,0.35,0.69,0.237,0.305,0.339,0.644,2
217,Nick Madrigal,R,CHC,2B,2B,4/11,7,-4.7,SEA,CFlexen(R),46,Lst7,3.6,3.3,0.9,0.39,0.03,0.33,0.04,0.18,0.35,0.277,0.319,0.365,0.684,0
218,Aaron Hicks,S,NYY,OF,OF,4/11,6,-4.8,@CLE,HGaddis(R),30,Lst7,4.0,3.4,0.7,0.42,0.11,0.37,0.08,0.45,0.97,0.211,0.308,0.357,0.665,0
219,Victor Caratini,S,MIL,C,C,4/11,9,-4.8,@ARI,MKelly(R),40,Lst7,4.1,3.6,0.9,0.42,0.09,0.40,0.02,0.33,0.83,0.241,0.310,0.369,0.679,0
220,Bryan De La Cruz,R,MIA,OF,OF,4/11,6,-4.9,@PHI,ANola(R),56,Lst7,4.0,3.7,0.9,0.36,0.12,0.40,0.04,0.18,1.20,0.231,0.271,0.377,0.648,73
221,Jose Trevino,R,NYY,C,C,4/11,6,-5.1,@CLE,HGaddis(R),63,Lst7,4.0,3.8,0.9,0.39,0.11,0.40,0.03,0.15,0.78,0.231,0.264,0.371,0.635,60
222,Josh Lowe,L,TB,OF,OF,4/11,6,-5.2,BOS,GWhitlock(R),60,Lst7,3.5,3.2,0.7,0.35,0.09,0.35,0.11,0.31,1.07,0.218,0.292,0.367,0.659,81
223,Jake Burger,R,CHW,3B,3B,4/11,7,-5.3,@MIN,PLopez(R),26,Lst7,4.0,3.7,0.8,0.41,0.12,0.42,0.01,0.20,1.28,0.228,0.277,0.384,0.661,2
224,Trevor Larnach,L,MIN,OF,OF,4/11,7,-5.5,CHW,LLynn(R),97,Lst7,4.0,3.7,0.8,0.45,0.13,0.40,0.01,0.30,1.26,0.219,0.287,0.382,0.669,94
225,Miguel Rojas,R,LAD,SS,SS,4/11,9,-5.6,@SF,AWood(L),79,Lst7,3.9,3.6,0.9,0.37,0.04,0.35,0.05,0.18,0.48,0.263,0.305,0.354,0.659,0
226,Amed Rosario,R,CLE,SS,SS/OF,4/11,6,-5.6,NYY,GCole(R),96,Lst7,4.1,3.9,0.9,0.39,0.07,0.32,0.11,0.15,1.02,0.228,0.258,0.340,0.598,100
227,Garrett Cooper,R,MIA,1B,1B,4/11,6,-5.6,@PHI,ANola(R),88,Lst7,4.3,3.9,0.9,0.43,0.12,0.39,0.01,0.27,1.32,0.229,0.289,0.372,0.661,37
228,Gunnar Henderson,L,BAL,3B,SS/3B,4/11,6,-5.6,OAK,KMuller(L),66,Lst7,3.5,3.0,0.7,0.39,0.09,0.34,0.05,0.43,0.89,0.237,0.337,0.379,0.716,100
229,Michael Conforto,L,SF,OF,OF,4/11,9,-6.2,LAD,DMay(R),97,Lst7,4.1,3.5,0.7,0.43,0.08,0.37,0.08,0.46,0.99,0.212,0.315,0.347,0.662,100
230,Avisail Garcia,R,MIA,OF,OF,4/11,6,-6.4,@PHI,ANola(R),56,Lst7,4.0,3.7,0.8,0.34,0.13,0.39,0.05,0.17,1.26,0.221,0.265,0.357,0.622,3
231,Christian Walker,R,ARI,1B,1B,4/11,9,-6.4,MIL,CBurnes(R),96,Lst7,3.9,3.6,0.8,0.38,0.12,0.46,0.02,0.28,0.97,0.213,0.279,0.375,0.654,100
232,Willi Castro,S,MIN,OF,2B/SS/ OF,4/11,7,-6.4,CHW,LLynn(R),29,Lst7,3.5,3.3,0.7,0.33,0.09,0.33,0.11,0.13,0.86,0.217,0.260,0.366,0.626,0
233,Isaac Paredes,R,TB,1B/2B/ 3B,1B/2B/ 3B,4/11,6,-6.4,BOS,GWhitlock(R),74,Lst7,3.6,3.2,0.7,0.38,0.13,0.40,0.01,0.35,0.63,0.223,0.307,0.392,0.699,100
234,Jace Peterson,L,OAK,3B,3B/OF,4/11,6,-6.5,@BAL,GRodriguez(R),82,Lst7,4.2,3.7,0.8,0.37,0.08,0.34,0.12,0.36,1.14,0.214,0.287,0.332,0.619,0
235,Daniel Vogelbach,L,NYM,DH,DH,4/11,7,-6.5,SD,RWeathers(L),15,Lst7,3.7,3.1,0.7,0.44,0.13,0.41,0.00,0.53,0.84,0.208,0.325,0.366,0.691,1
236,Owen Miller,R,MIL,1B/2B,1B/2B,4/11,9,-6.5,@ARI,MKelly(R),19,Lst7,4.1,3.7,0.9,0.39,0.06,0.38,0.03,0.23,0.82,0.249,0.297,0.362,0.659,0
237,Elvis Andrus,R,CHW,2B/SS,2B/SS,4/11,7,-6.7,@MIN,PLopez(R),96,Lst7,3.7,3.4,0.8,0.37,0.06,0.32,0.09,0.17,0.67,0.236,0.279,0.346,0.625,83
238,Trayce Thompson,R,LAD,OF,OF,4/11,9,-6.9,@SF,AWood(L),96,Lst7,4.1,3.6,0.8,0.39,0.12,0.43,0.03,0.32,1.34,0.214,0.285,0.362,0.647,7
239,Christian Bethancourt,R,TB,C/1B,C/1B,4/11,6,-7.0,BOS,GWhitlock(R),56,Lst7,3.3,3.1,0.7,0.35,0.10,0.34,0.06,0.15,0.80,0.230,0.270,0.372,0.642,61
240,Nick Fortes,R,MIA,C,C,4/11,6,-7.0,@PHI,ANola(R),60,Lst7,3.8,3.4,0.8,0.36,0.12,0.36,0.06,0.21,0.90,0.219,0.275,0.362,0.637,39
241,Matt Wallner,L,MIN,OF,OF,4/11,7,-7.1,CHW,LLynn(R),34,Lst7,3.6,3.2,0.7,0.37,0.13,0.38,0.04,0.30,1.25,0.210,0.289,0.392,0.681,0
242,Joc Pederson,L,SF,OF,OF,4/11,9,-7.2,LAD,DMay(R),95,Lst7,3.9,3.5,0.7,0.37,0.10,0.44,0.06,0.35,1.03,0.204,0.288,0.357,0.645,100
243,Tim Locastro,R,NYM,OF,OF,4/11,7,-7.2,SD,RWeathers(L),40,Lst7,3.4,3.1,0.7,0.39,0.07,0.33,0.10,0.19,0.70,0.209,0.273,0.342,0.615,0
244,LaMonte Wade Jr.,L,SF,1B/OF,1B/OF,4/11,9,-7.2,LAD,DMay(R),95,Lst7,4.2,3.6,0.7,0.47,0.08,0.31,0.11,0.49,0.98,0.201,0.308,0.317,0.625,7
245,Kevin Newman,R,CIN,2B/SS,2B/SS,4/11,7,-7.3,@ATL,KWright(R),71,Lst7,3.8,3.5,0.9,0.36,0.03,0.34,0.04,0.16,0.51,0.263,0.298,0.351,0.649,0
246,Vinnie Pasquantino,L,KC,1B,1B,4/11,8,-7.3,@TEX,JdeGrom(R),97,Lst7,4.1,3.7,0.9,0.32,0.15,0.34,0.03,0.31,0.91,0.230,0.296,0.405,0.701,100
247,Luis Campusano,R,SD,C,C,4/11,7,-7.6,@NYM,DPeterson(L),45,Lst7,3.9,3.5,0.8,0.39,0.11,0.39,0.01,0.28,0.95,0.228,0.290,0.359,0.649,7
248,Jesus Aguilar,R,OAK,1B,1B,4/11,6,-7.8,@BAL,GRodriguez(R),87,Lst7,4.1,3.8,0.8,0.36,0.13,0.43,0.01,0.27,1.01,0.216,0.272,0.363,0.635,2
249,Jake Rogers,R,DET,C,C,4/11,7,-8.0,@TOR,AManoah(R),30,Lst7,3.6,3.3,0.6,0.38,0.16,0.37,0.05,0.24,1.24,0.188,0.255,0.374,0.629,1
250,Yuli Gurriel,R,MIA,1B,1B,4/11,6,-8.2,@PHI,ANola(R),26,Lst7,4.0,3.8,0.9,0.33,0.07,0.38,0.04,0.18,0.68,0.242,0.282,0.354,0.636,0
251,Ryan Noda,L,OAK,1B,1B,4/11,6,-8.2,@BAL,GRodriguez(R),63,Lst7,4.2,3.6,0.7,0.41,0.14,0.38,0.06,0.46,1.50,0.188,0.289,0.351,0.640,1
252,Bryce Johnson,S,SF,OF,OF,4/11,9,-8.3,LAD,DMay(R),19,Lst7,3.4,3.0,0.6,0.30,0.03,0.25,0.25,0.30,1.08,0.189,0.272,0.278,0.550,0
253,James McCann,R,BAL,C,C,4/11,6,-8.5,OAK,KMuller(L),35,Lst7,3.4,3.0,0.7,0.37,0.08,0.33,0.03,0.24,0.74,0.237,0.295,0.366,0.661,0
254,Aledmys Diaz,R,OAK,2B/OF,1B/2B/ SS/3B/OF,4/11,6,-8.5,@BAL,GRodriguez(R),87,Lst7,4.3,4.0,0.9,0.37,0.11,0.40,0.02,0.22,0.90,0.223,0.270,0.352,0.622,11
255,Eric Haase,R,DET,C,C/OF,4/11,7,-8.5,@TOR,AManoah(R),78,Lst7,3.6,3.4,0.7,0.38,0.15,0.38,0.02,0.20,1.13,0.202,0.254,0.382,0.636,95
256,Chadwick Tromp,R,ATL,C,C,4/11,7,-8.6,CIN,LCessa(R),26,Lst7,3.5,3.2,0.7,0.39,0.09,0.37,0.02,0.18,0.73,0.227,0.272,0.361,0.633,0
257,Stuart Fairchild,R,CIN,OF,OF,4/11,7,-8.6,@ATL,KWright(R),29,Lst7,3.9,3.5,0.7,0.38,0.09,0.38,0.06,0.27,1.16,0.214,0.288,0.349,0.637,0
258,Jesus Sanchez,L,MIA,OF,OF,4/11,6,-8.6,@PHI,ANola(R),54,Lst7,3.9,3.5,0.7,0.36,0.14,0.37,0.03,0.24,1.21,0.209,0.267,0.374,0.641,2
259,Max Muncy,L,LAD,2B/3B,2B/3B,4/11,9,-8.7,@SF,AWood(L),91,Lst7,4.3,3.8,0.8,0.41,0.09,0.45,0.01,0.47,1.01,0.216,0.313,0.334,0.647,100
260,Conner Capel,L,OAK,OF,OF,4/11,6,-8.7,@BAL,GRodriguez(R),52,Lst7,3.8,3.4,0.7,0.34,0.09,0.32,0.10,0.31,0.98,0.214,0.284,0.343,0.627,1
261,Trent Grisham,L,SD,OF,OF,4/11,7,-8.8,@NYM,DPeterson(L),93,Lst7,3.9,3.4,0.7,0.39,0.11,0.38,0.05,0.39,1.17,0.198,0.290,0.336,0.626,92
262,Pavin Smith,L,ARI,OF,1B/OF,4/11,9,-8.9,MIL,CBurnes(R),30,Lst7,4.0,3.7,0.8,0.39,0.09,0.40,0.03,0.30,0.96,0.219,0.282,0.361,0.643,0
263,Spencer Steer,R,CIN,3B,1B/3B,4/11,7,-8.9,@ATL,KWright(R),96,Lst7,3.9,3.5,0.8,0.38,0.09,0.38,0.02,0.28,0.92,0.227,0.295,0.356,0.651,41
264,Yasmani Grandal,S,CHW,C,C,4/11,7,-9.0,@MIN,PLopez(R),70,Lst7,4.0,3.4,0.7,0.41,0.11,0.38,0.01,0.45,1.01,0.216,0.314,0.356,0.670,99
265,Rafael Devers,L,BOS,3B,3B,4/11,6,-9.0,@TB,SMcClanahan(L),93,Lst7,4.3,4.0,0.9,0.39,0.12,0.34,0.03,0.24,1.19,0.220,0.271,0.354,0.625,100
266,Gabriel Moreno,R,ARI,C,C,4/11,9,-9.1,MIL,CBurnes(R),70,Lst7,3.6,3.3,0.8,0.33,0.06,0.32,0.05,0.20,0.75,0.249,0.300,0.357,0.657,99
267,Donovan Solano,R,MIN,1B,1B/2B/ 3B,4/11,7,-9.2,CHW,LLynn(R),62,Lst7,3.8,3.5,0.9,0.35,0.05,0.36,0.01,0.16,0.77,0.254,0.298,0.363,0.661,0
268,Chris Taylor,R,LAD,2B/OF,2B/OF,4/11,9,-9.3,@SF,AWood(L),96,Lst7,3.9,3.5,0.8,0.38,0.06,0.36,0.04,0.29,1.15,0.231,0.298,0.348,0.646,36
269,Hanser Alberto,R,CHW,2B/3B,2B/3B,4/11,7,-9.4,@MIN,PLopez(R),26,Lst7,3.9,3.7,0.9,0.35,0.05,0.34,0.03,0.08,0.62,0.251,0.276,0.355,0.631,0
270,Keibert Ruiz,S,WSH,C,C,4/11,9,-9.5,@LAA,SOhtani(R),72,Lst7,4.0,3.7,0.8,0.33,0.13,0.38,0.02,0.26,0.73,0.219,0.278,0.372,0.650,100
271,Jason Vosler,L,CIN,3B,3B,4/11,7,-9.6,@ATL,KWright(R),67,Lst7,4.0,3.7,0.8,0.37,0.10,0.42,0.02,0.27,1.08,0.213,0.275,0.353,0.628,3
272,Oscar Gonzalez,R,CLE,OF,OF,4/11,6,-9.6,NYY,GCole(R),66,Lst7,3.7,3.5,0.8,0.32,0.12,0.37,0.02,0.12,0.97,0.226,0.254,0.379,0.633,77
273,Masataka Yoshida,L,BOS,OF,OF,4/11,6,-9.7,@TB,SMcClanahan(L),66,Lst7,4.1,3.7,0.9,0.32,0.08,0.36,0.03,0.34,0.59,0.240,0.313,0.344,0.657,100
274,Jonathan Schoop,R,DET,2B,2B,4/11,7,-9.8,@TOR,AManoah(R),52,Lst7,3.7,3.5,0.8,0.36,0.12,0.36,0.02,0.13,0.83,0.217,0.257,0.375,0.632,1
275,Zach McKinstry,L,DET,2B/3B,2B/SS/ 3B,4/11,7,-9.9,@TOR,AManoah(R),48,Lst7,3.7,3.4,0.7,0.37,0.10,0.34,0.04,0.25,0.90,0.215,0.277,0.369,0.646,0
276,Ji Hwan Bae,L,PIT,OF,OF,4/11,6,-10.0,HOU,CJavier(R),82,Lst7,3.5,3.1,0.7,0.32,0.05,0.29,0.14,0.31,0.79,0.210,0.286,0.335,0.621,59
277,Jake Cronenworth,L,SD,1B/2B,1B/2B/SS,4/11,7,-10.1,@NYM,DPeterson(L),93,Lst7,4.2,3.7,0.8,0.38,0.08,0.41,0.02,0.37,0.92,0.219,0.301,0.333,0.634,100
278,Kyle Schwarber,L,PHI,OF,OF,4/11,6,-10.2,MIA,JLuzardo(L),93,Lst7,4.1,3.5,0.6,0.46,0.15,0.36,0.02,0.51,1.39,0.179,0.289,0.340,0.629,100
279,Wilmer Flores,R,SF,1B/2B/ 3B,1B/2B/ 3B,4/11,9,-10.3,LAD,DMay(R),49,Lst7,4.1,3.7,0.8,0.43,0.08,0.36,0.02,0.35,0.75,0.218,0.295,0.339,0.634,23
280,Mike Yastrzemski,L,SF,OF,OF,4/11,9,-10.5,LAD,DMay(R),95,Lst7,3.8,3.3,0.7,0.33,0.08,0.38,0.08,0.36,1.00,0.201,0.287,0.341,0.628,19
281,Adam Frazier,L,BAL,2B/OF,2B/OF,4/11,6,-10.7,OAK,KMuller(L),32,Lst7,3.6,3.3,0.8,0.33,0.03,0.29,0.06,0.27,0.40,0.246,0.310,0.338,0.648,23
282,Brent Rooker,R,OAK,OF,OF,4/11,6,-10.7,@BAL,GRodriguez(R),32,Lst7,3.8,3.4,0.7,0.36,0.14,0.36,0.03,0.31,1.35,0.197,0.278,0.358,0.636,0
283,Jose Azocar,R,SD,OF,OF,4/11,7,-10.8,@NYM,DPeterson(L),96,Lst7,3.8,3.5,0.8,0.35,0.05,0.32,0.09,0.20,0.99,0.221,0.268,0.316,0.584,0
284,Kyle Farmer,R,MIN,SS/3B,SS/3B,4/11,7,-10.9,CHW,LLynn(R),50,Lst7,3.6,3.4,0.8,0.33,0.07,0.34,0.04,0.13,0.65,0.230,0.278,0.359,0.637,12
285,Romy Gonzalez,R,CHW,2B,2B,4/11,7,-11.0,@MIN,PLopez(R),36,Lst7,3.9,3.6,0.8,0.35,0.09,0.35,0.07,0.19,1.39,0.207,0.253,0.331,0.584,0
286,Will Brennan,L,CLE,OF,OF,4/11,6,-11.0,NYY,GCole(R),64,Lst7,3.6,3.3,0.8,0.32,0.06,0.30,0.07,0.21,0.74,0.230,0.283,0.353,0.636,2
287,Christian Vazquez,R,MIN,C,C/1B,4/11,7,-11.1,CHW,LLynn(R),63,Lst7,3.4,3.2,0.7,0.33,0.07,0.31,0.04,0.16,0.60,0.235,0.276,0.357,0.633,99
288,Austin Nola,R,SD,C,C,4/11,7,-11.1,@NYM,DPeterson(L),70,Lst7,4.0,3.5,0.8,0.37,0.06,0.34,0.02,0.32,0.72,0.234,0.307,0.336,0.643,6
289,David Fletcher,R,LAA,2B/SS,2B/SS,4/11,9,-11.2,WSH,JGray(R),29,Lst7,3.4,3.1,0.8,0.34,0.04,0.26,0.07,0.18,0.34,0.248,0.291,0.340,0.631,1
290,Luis Garcia,L,WSH,2B/SS,2B/SS,4/11,9,-11.2,@LAA,SOhtani(R),51,Lst7,4.0,3.7,0.8,0.32,0.12,0.32,0.03,0.18,1.03,0.224,0.261,0.364,0.625,23
291,Ryan Jeffers,R,MIN,C,C,4/11,7,-11.2,CHW,LLynn(R),37,Lst7,3.4,3.1,0.6,0.36,0.12,0.35,0.02,0.22,0.95,0.203,0.264,0.375,0.639,3
292,Ehire Adrianza,S,ATL,2B/3B,2B/3B,4/11,7,-11.3,CIN,LCessa(R),49,Lst7,3.5,3.1,0.7,0.38,0.05,0.32,0.04,0.27,0.63,0.232,0.298,0.334,0.632,0
293,Josh Bell,S,CLE,1B,1B,4/11,6,-11.4,NYY,GCole(R),91,Lst7,3.7,3.3,0.7,0.35,0.12,0.37,0.01,0.35,0.92,0.209,0.287,0.367,0.654,98
